scheme_name,benefits,level,category,tags,combined
Kerala State Young Scientist Awards,"1. Each Awardee will be presented with a certificate and a cash prize of 50,000/-. 1. The recipient may be considered by the Council for a research grant of 50 lakhs after due consideration of the research project with the help of an expert committee. 1. The Awardee, within 3 years of the receipt of the award, will be considered for a visit abroad to present the research work at a c",State,"Science, IT Communications","Award,  Cash Prize,  Research,  Science,  Technology,  Young Scientist","Kerala State Young Scientist Awards 1. Each Awardee will be presented with a certificate and a cash prize of 50,000/-. 1. The recipient may be considered by the Council for a research grant of 50 lakhs after due consideration of the research project with the help of an expert committee. 1. The Awardee, within 3 years of the receipt of the award, will be considered for a visit abroad to present the research work at a c Science, IT Communications Award,  Cash Prize,  Research,  Science,  Technology,  Young Scientist"
Innovations for Defence Excellence,"1 SPARK Support for Prototype and Research Kickstart Grant iDEX provides grants up to ₹ 1.50 Cr up to ₹ 10 Cr in case of iDEX Prime to the start-ups/MSMEs to fund the projects in many technological areas under Defence India Start-up Challenges DISC and Open Challenge through the Support for Prototype and Research Kick start SPARK Framework lt br gt 2 Partner Incubators Support to iDEX winners - a Partner Incubator will provide mentorship to startups/MSMEs selected by iDEX-DIO. b Partner Incubator will run programs like accelerators, incubation, etc. to strengthen selected startups/MSMEs beneficial for the India defence sector. c Partner Incubator will undertake initiatives to reach out, spread awareness and promote innovations for defence among students/ researchers at all levels in academia lt br gt 3 The major benefits from iDEX Scheme to Indian Defence Innovation Ecosystem are - a Facilitate rapid development of new, indigenized, and innovative technologies for the Indian defence and aerospace sector, to meet needs for these sectors in shorter timelines b Create a culture of engagement with innovative startups, to encourage co-creation for defence and aerospace sectors c Empower a culture of technology co-creation and co-innovation within the defence and aerospace sectors.",Central,Business Entrepreneurship,"Academia,  Innovation,  MSME,  R D,  Start-ups","Innovations for Defence Excellence 1 SPARK Support for Prototype and Research Kickstart Grant iDEX provides grants up to ₹ 1.50 Cr up to ₹ 10 Cr in case of iDEX Prime to the start-ups/MSMEs to fund the projects in many technological areas under Defence India Start-up Challenges DISC and Open Challenge through the Support for Prototype and Research Kick start SPARK Framework lt br gt 2 Partner Incubators Support to iDEX winners - a Partner Incubator will provide mentorship to startups/MSMEs selected by iDEX-DIO. b Partner Incubator will run programs like accelerators, incubation, etc. to strengthen selected startups/MSMEs beneficial for the India defence sector. c Partner Incubator will undertake initiatives to reach out, spread awareness and promote innovations for defence among students/ researchers at all levels in academia lt br gt 3 The major benefits from iDEX Scheme to Indian Defence Innovation Ecosystem are - a Facilitate rapid development of new, indigenized, and innovative technologies for the Indian defence and aerospace sector, to meet needs for these sectors in shorter timelines b Create a culture of engagement with innovative startups, to encourage co-creation for defence and aerospace sectors c Empower a culture of technology co-creation and co-innovation within the defence and aerospace sectors. Business Entrepreneurship Academia,  Innovation,  MSME,  R D,  Start-ups"
Feed And Fodder Entrepreneurship Scheme,nan,State,"Agriculture,Rural Environment","Farmers Scientist Interaction,  Fodder Block Making,  Fodder Value Addition,  Storage Facilities,  Total Mixed Ration","Feed And Fodder Entrepreneurship Scheme nan Agriculture,Rural Environment Farmers Scientist Interaction,  Fodder Block Making,  Fodder Value Addition,  Storage Facilities,  Total Mixed Ration"
Technology Transfer Commercialization Support Scheme,"1. This scheme intends to support Technology License/Transfer Startups by providing funding support of a maximum of 10 Lakhs in the form of reimbursement for the startups, who have paid to the Research Institution. 1. The support is limited to 90 of the technology fee to be paid to the Research enti",State,Business Entrepreneurship,"Commercialization,  Entrepreneur,  Startup,  Technology,  Woman","Technology Transfer Commercialization Support Scheme 1. This scheme intends to support Technology License/Transfer Startups by providing funding support of a maximum of 10 Lakhs in the form of reimbursement for the startups, who have paid to the Research Institution. 1. The support is limited to 90 of the technology fee to be paid to the Research enti Business Entrepreneurship Commercialization,  Entrepreneur,  Startup,  Technology,  Woman"
Generator Subsidy,"Subsidy of 25 on the cost of generator purchased up to 320 KVA capacity , subject to a maximum of 5,00",State/ UT,"Business Entrepreneurship, Utility Sanitation","Electricity,  Enterprise,  MSME,  Power,  Subsidy","Generator Subsidy Subsidy of 25 on the cost of generator purchased up to 320 KVA capacity , subject to a maximum of 5,00 Business Entrepreneurship, Utility Sanitation Electricity,  Enterprise,  MSME,  Power,  Subsidy"
Old Age Pension Scheme APB OCWWB,"1. Cash assistance of 500/- per month, to the old age beneficiaries with an increase in 10/- on completion of eve",State,Social welfare Empowerment,"Construction Worker,  Labour,  Old Age,  Pension","Old Age Pension Scheme APB OCWWB 1. Cash assistance of 500/- per month, to the old age beneficiaries with an increase in 10/- on completion of eve Social welfare Empowerment Construction Worker,  Labour,  Old Age,  Pension"
Grant of Subsidy for Purchase of Mobile Sea Food Van,"1. The scheme provides a subsidy of 75 on the cost of the mobile seafood van, including fabrication of the body, procurement of an insulated ice-box, a two-burner stove, cooking utensils, and accessories. 2. The remaining 25 is expected to be covered by a bank loan. MODE OF DISBURSEMENT The subsidy portion will be released to a separate account of the beneficiary in the bank.",State/ UT,"Agriculture,Rural Environment, Transport Infrastructure","Fish,  Fisherman,  Grant,  Subsidy,  Transport","Grant of Subsidy for Purchase of Mobile Sea Food Van 1. The scheme provides a subsidy of 75 on the cost of the mobile seafood van, including fabrication of the body, procurement of an insulated ice-box, a two-burner stove, cooking utensils, and accessories. 2. The remaining 25 is expected to be covered by a bank loan. MODE OF DISBURSEMENT The subsidy portion will be released to a separate account of the beneficiary in the bank. Agriculture,Rural Environment, Transport Infrastructure Fish,  Fisherman,  Grant,  Subsidy,  Transport"
Lean Season Assistance under Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme,"5kg of free rice and one set of clothing consisting of one quality saree with one blouse bit, one lunghie, and one towel per fishermen s family, during natural calamities every year.",State/ UT,"Agriculture,Rural Environment, Social welfare Empowerment","Clothes,  Fish,  Fishermen,  Food,  Relief,  Welfare","Lean Season Assistance under Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme 5kg of free rice and one set of clothing consisting of one quality saree with one blouse bit, one lunghie, and one towel per fishermen s family, during natural calamities every year. Agriculture,Rural Environment, Social welfare Empowerment Clothes,  Fish,  Fishermen,  Food,  Relief,  Welfare"
Internet Subsidy Scheme,"- 25 reimbursement on high-speed bandwidth, subject to a maximum of 5,00,000 per annum whichever is lower. - The subsidy can be availed for a period of three years from the date of commencement of operations or from the date of notification of this policy whichever is later. NOTE 1 The benefits under this scheme are subject to budgetary allocation. No Promissory Estoppel shall be applicable if benefits are discontinued in case the allocation is exceeded. NOTE 2 Units will be subject to evaluation at the end of each Fiscal Year to verify eligibility to continue receiving benefits under this sc",State/ UT,"Business Entrepreneurship, Skills Employment","Broadband,  Internet,  Reimbursement,  Subsidy","Internet Subsidy Scheme - 25 reimbursement on high-speed bandwidth, subject to a maximum of 5,00,000 per annum whichever is lower. - The subsidy can be availed for a period of three years from the date of commencement of operations or from the date of notification of this policy whichever is later. NOTE 1 The benefits under this scheme are subject to budgetary allocation. No Promissory Estoppel shall be applicable if benefits are discontinued in case the allocation is exceeded. NOTE 2 Units will be subject to evaluation at the end of each Fiscal Year to verify eligibility to continue receiving benefits under this sc Business Entrepreneurship, Skills Employment Broadband,  Internet,  Reimbursement,  Subsidy"
Cluster Nutritional Kitchen Garden Scheme,nan,State,"Agriculture,Rural Environment","Livestock Rearing,  Malnutrition,  Vegetable Cultivation","Cluster Nutritional Kitchen Garden Scheme nan Agriculture,Rural Environment Livestock Rearing,  Malnutrition,  Vegetable Cultivation"
